study,treatment,mean,stddev,samplesize
Budd 2022,adu10mg,3.76,8.95,547
Budd 2022,placebo,5.16,0.4,548
Budd 2022a,adu10mg,4.55,3.79,555
Budd 2022a,placebo,5.14,0.38,545
Cumming 2018,cre300mg,7.81,7.59,88
Cumming 2018,placebo,7.85,7.58,45
Cumming 2018a,cre15mg,8.79,8.72,122
Cumming 2018a,placebo,10.56,8.72,64
Doody 2014,sol400mg,4.5,17.8,506
Doody 2014,placebo,5.8,17.2,506
Doody 2014a,sol400mg,5.3,18.6,521
Doody 2014a,placebo,6.6,19.2,519
Farlow 2012,sol100mg,2,4.75,10
Farlow 2012,placebo,0.1,4.75,10
Farlow 2012a,sol100mg,0.1,4.47,11
Farlow 2012a,placebo,0.1,4.75,10
Farlow 2012b,sol400mg,-1,4.68,10
Farlow 2012b,placebo,0.1,4.75,10
Farlow 2012c,sol400mg,0.8,4.47,11
Farlow 2012c,placebo,0.1,4.75,10
Florian 2023,til300mg,-0.4,11.48,78
Florian 2023,til1000mg,-0.6,10.52,77
Florian 2023,til2000mg,1,10.4,64
Florian 2023,placebo,8.4,7.64,72
Honig 2018,sol400mg,6.65,11.7,1057
Honig 2018,placebo,7.44,11.79,1072
Ivanoiu 2016,bap500ug,10.11,10.08,256
Ivanoiu 2016,placebo,10.12,10.58,199
Ivanoiu 2016a,bap500ug,10.38,10.63,62
Ivanoiu 2016a,placebo,12.44,10.48,38
Ivanoiu 2016b,bap1mg,10.31,9.9,53
Ivanoiu 2016b,placebo,10.54,10.45,33
landen 2017,pon10mg,6.6,7.52,12
landen 2017,placebo,-1.8,6.56,6
landen 2017a,pon7500ug,6,6.94,12
landen 2017a,placebo,7.5,7.66,6
landen 2018,pon100ug,8.4,10.08,25
landen 2018,pon500ug,8.7,10.52,25
landen 2018,pon1mg,9,10.81,25
landen 2018,placebo,6.9,10.58,24
landen 2018a,pon3mg,9.6,11.01,32
landen 2018a,pon8500ug,8.8,10.5,31
landen 2018a,placebo,8,10.01,32
Minton 2021,don1400mg,2.91,6.35,93
Minton 2021,placebo,4.77,6.36,93
Ostrowitzki 2017,gan105mg,5.14,10.37,271
Ostrowitzki 2017,gan225mg,5.54,10.94,260
Ostrowitzki 2017,placebo,5.77,10.19,266
Ostrowitzki 2022,cre60mg,9.82,7.44,80
Ostrowitzki 2022,placebo,9.55,7.53,86
Salloway 2009,bap150ug,-10.1,7.35,24
Salloway 2009,placebo,-15.7,8.91,15
Salloway 2009a,bap500ug,-7,9.76,18
Salloway 2009a,placebo,-10.2,10.46,19
Salloway 2009b,bap1mg,-6,9.18,26
Salloway 2009b,placebo,-6,7.97,22
Salloway 2009c,bapb2mg,-2.6,6.54,19
Salloway 2009c,placebo,-5.6,8.91,22
Salloway 2014,bap500ug,8.5,10.26,658
Salloway 2014,placebo,8.7,10.39,432
Salloway 2014a,bap500ug,7.1,10.63,314
Salloway 2014a,bap1mg,7.8,10.51,307
Salloway 2014a,placebo,7.4,13.32,493
Salloway(2) 2018,bap500ug,8.2,11.9,187
Salloway(2) 2018,placebo,11.8,13.4,145
Swanson 2022,lec2500ug,3.86,7.65,52
Swanson 2022,placebo,3.63,8.89,237
Swanson 2022a,lec5mg,3.86,6.83,47
Swanson 2022a,placebo,3.63,8.89,237
Swanson 2022b,lec5mg,3.22,7.21,89
Swanson 2022b,placebo,3.63,8.89,237
Swanson 2022c,lec10mg,2.91,8.83,246
Swanson 2022c,placebo,3.63,8.89,237
Swanson 2022d,lec10mg,1.61,8.55,152
Swanson 2022d,placebo,3.63,8.89,237
Teng 2022,sem1500mg,8.68,7.67,67
Teng 2022,sem4500mg,6,6.29,97
Teng 2022,sem8100mg,7.58,7.57,66
Teng 2022,placebo,6.56,7.53,94
Van 2023,lec10mg,4.14,17.59,854
Van 2023,placebo,5.58,17.59,872
Vandenberg 2016,bap500ug,7.32,8.125,434
Vandenberg 2016,placebo,7.31,8.141,300
Vandenberg 2016a,bap500ug,6.05,11.34,255
Vandenberg 2016a,bap1mg,8.07,11.61,253
Vandenberg 2016a,placebo,7.88,11.59,328
