study,treatment,responders,samplesize
Andearson 2015,gsk933776,31,36
Andearson 2015,placebo,10,14
Arai 2015,bapineuzumab,17,24
Arai 2015,placebo,7,8
Black 2010,bapineuzumab,20,22
Black 2010,placebo,8,8
Brasher 2018,bapineuzumab,1342,1480
Brasher 2018,placebo,863,972
Brody 2016,bapineuzumab,96,110
Brody 2016,placebo,28,36
Cumming 2018,crenezumab,260,287
Cumming 2018,placebo,129,144
Florain 2023,tilavonemab,306,337
Florain 2023,placebo,108,116
Guthrie 2020,crenezumab,34,61
Guthrie 2020,placebo,6,14
Hoglinger 2021,tilavonemab,222,251
Hoglinger 2021,placebo,108,126
Honig 2018,solanezumab,891,1054
Honig 2018,placebo,890,1067
Ivanoiu 2016,bapineuzumab,268,397
Ivanoiu 2016,placebo,209,291
Landen 2013,ponezumab,24,26
Landen 2013,placebo,11,11
Logovinsky 2016,bapineuzumab,35,72
Logovinsky 2016,placebo,14,24
Lowe 2021,donanemab,29,51
Lowe 2021,placebo,9,12
Lu 2018,bapineuzumab,25,30
Lu 2018,placebo,4,10
Ostrowitzki 2017,gantenerumab,481,531
Ostrowitzki 2017,placebo,250,266
Ostrowitzki 2022,crenezumab,644,808
Ostrowitzki 2022,placebo,628,803
Qureshi 2018,biib092,16,49
Qureshi 2018,placebo,8,16
Rinne 2010,bapineuzumab,19,20
Rinne 2010,placebo,8,8
Swanson 2022,lecanemab,452,609
Swanson 2022,placebo,216,245
Salloway 2018,crenezumab,58,62
Salloway 2018,placebo,28,29
Salloway 2018(1),bapineuzumab,109,115
Salloway 2018(1),placebo,75,79
Salloway 2018(2),bapineuzumab,649,771
Salloway 2018(2),placebo,508,613
Sevigny 2010,aducanumab,112,125
Sevigny 2010,placebo,39,40
Teng 2022,semorinemab,286,311
Teng 2022,placebo,121,130
Van 2023,lecanemab,735,897
Van 2023,placebo,798,898
