"","adu10mg","bap150ug","bap1mg","bap500ug","bapb2mg","cre15mg","cre300mg","cre60mg","don1400mg","gan105mg","gan225mg","lec10mg","lec2500ug","lec5mg","placebo","pon100ug","pon10mg","pon1mg","pon3mg","pon500ug","pon7500ug","pon8500ug","sem1500mg","sem4500mg","sem8100mg","sol100mg","sol400mg","til1000mg","til2000mg","til300mg"
"adu10mg","adu10mg","6.36 (0.76, 12.06)","1.27 (-0.13, 2.73)","0.28 (-0.79, 1.35)","3.9 (-0.89, 8.64)","-0.96 (-3.84, 1.96)","0.79 (-2.11, 3.81)","1.15 (-1.39, 3.7)","-0.97 (-3.11, 1.21)","0.2 (-1.87, 2.36)","0.61 (-1.48, 2.82)","-0.5 (-1.79, 0.88)","1.1 (-1.49, 3.83)","0.74 (-0.99, 2.51)","0.83 (0.14, 1.7)","2.34 (-3.38, 8.01)","9.46 (2.54, 16.18)","2.91 (-3.12, 8.96)","2.47 (-2.89, 7.63)","2.64 (-3.15, 8.64)","-0.63 (-7.82, 6.55)","1.66 (-3.47, 6.82)","3 (0.36, 5.69)","0.33 (-1.95, 2.64)","1.92 (-0.65, 4.54)","1.73 (-1.21, 5.06)","-0.03 (-1.24, 1.25)","-8.22 (-11.29, -5.01)","-6.52 (-9.9, -3.19)","-7.96 (-11.42, -4.61)"
"bap150ug","-6.36 (-12.06, -0.76)","bap150ug","-5.07 (-10.9, 0.54)","-6.06 (-11.83, -0.57)","-2.42 (-9.96, 4.92)","-7.37 (-13.58, -1.06)","-5.58 (-11.81, 0.62)","-5.23 (-11.29, 0.93)","-7.34 (-13.36, -1.49)","-6.16 (-12.12, -0.35)","-5.78 (-11.69, 0.17)","-6.85 (-12.59, -1.27)","-5.28 (-11.44, 0.86)","-5.62 (-11.53, 0.12)","-5.49 (-11.16, 0.01)","-3.95 (-11.96, 3.74)","3.1 (-6.09, 11.63)","-3.44 (-11.64, 4.89)","-3.97 (-11.46, 3.77)","-3.63 (-11.7, 4.62)","-7.1 (-16, 1.97)","-4.71 (-12.38, 2.8)","-3.36 (-9.53, 2.62)","-6.02 (-12.17, -0.08)","-4.45 (-10.67, 1.5)","-4.57 (-11.06, 1.75)","-6.38 (-12.13, -0.8)","-14.51 (-21, -8.44)","-12.98 (-19.36, -6.38)","-14.32 (-21.11, -7.85)"
"bap1mg","-1.27 (-2.73, 0.13)","5.07 (-0.54, 10.9)","bap1mg","-0.99 (-2.25, 0.21)","2.64 (-2.27, 7.51)","-2.24 (-5.24, 0.85)","-0.48 (-3.51, 2.66)","-0.12 (-2.87, 2.58)","-2.26 (-4.59, 0.11)","-1.07 (-3.4, 1.27)","-0.66 (-2.97, 1.71)","-1.77 (-3.36, -0.16)","-0.17 (-2.91, 2.64)","-0.54 (-2.54, 1.45)","-0.43 (-1.63, 0.78)","1.08 (-4.74, 6.75)","8.17 (1.2, 14.98)","1.6 (-4.42, 7.76)","1.17 (-4.16, 6.42)","1.39 (-4.5, 7.45)","-1.93 (-9.18, 5.37)","0.4 (-4.78, 5.62)","1.73 (-1.04, 4.53)","-0.94 (-3.41, 1.52)","0.63 (-2.11, 3.42)","0.46 (-2.64, 3.97)","-1.29 (-2.82, 0.23)","-9.47 (-12.8, -6.16)","-7.78 (-11.35, -4.34)","-9.23 (-12.96, -5.73)"
"bap500ug","-0.28 (-1.35, 0.79)","6.06 (0.57, 11.83)","0.99 (-0.21, 2.25)","bap500ug","3.62 (-1.17, 8.39)","-1.27 (-4.13, 1.68)","0.52 (-2.39, 3.53)","0.86 (-1.69, 3.41)","-1.25 (-3.4, 0.92)","-0.08 (-2.18, 2.05)","0.32 (-1.77, 2.53)","-0.77 (-2.06, 0.56)","0.83 (-1.77, 3.53)","0.45 (-1.26, 2.21)","0.57 (-0.15, 1.36)","2.05 (-3.69, 7.67)","9.14 (2.3, 15.89)","2.63 (-3.37, 8.69)","2.2 (-3.15, 7.34)","2.39 (-3.4, 8.37)","-0.91 (-8.14, 6.29)","1.38 (-3.75, 6.56)","2.71 (0.07, 5.4)","0.05 (-2.21, 2.35)","1.6 (-0.9, 4.27)","1.45 (-1.46, 4.78)","-0.32 (-1.5, 0.94)","-8.49 (-11.58, -5.33)","-6.82 (-10.17, -3.47)","-8.23 (-11.75, -4.92)"
"bapb2mg","-3.9 (-8.64, 0.89)","2.42 (-4.92, 9.96)","-2.64 (-7.51, 2.27)","-3.62 (-8.39, 1.17)","bapb2mg","-4.87 (-10.45, 0.69)","-3.1 (-8.66, 2.42)","-2.81 (-8.01, 2.63)","-4.96 (-9.93, 0.31)","-3.73 (-8.83, 1.44)","-3.28 (-8.51, 1.88)","-4.39 (-9.23, 0.47)","-2.8 (-8.21, 2.69)","-3.16 (-8.15, 1.83)","-3.05 (-7.72, 1.69)","-1.54 (-9.15, 5.84)","5.58 (-2.91, 13.79)","-0.98 (-8.66, 6.65)","-1.46 (-8.26, 5.47)","-1.22 (-8.69, 6.35)","-4.62 (-12.93, 3.85)","-2.22 (-9.18, 4.54)","-0.91 (-6.18, 4.5)","-3.59 (-8.74, 1.65)","-2 (-7.35, 3.43)","-2.15 (-7.66, 3.43)","-3.94 (-8.68, 0.93)","-12.12 (-17.61, -6.44)","-10.46 (-16.03, -4.74)","-11.9 (-17.56, -6.11)"
"cre15mg","0.96 (-1.96, 3.84)","7.37 (1.06, 13.58)","2.24 (-0.85, 5.24)","1.27 (-1.68, 4.13)","4.87 (-0.69, 10.45)","cre15mg","1.77 (-2.22, 5.75)","2.1 (-1.66, 5.8)","-0.02 (-3.51, 3.46)","1.17 (-2.26, 4.56)","1.59 (-1.86, 4.97)","0.46 (-2.55, 3.49)","2.09 (-1.71, 5.83)","1.73 (-1.53, 4.89)","1.81 (-1, 4.59)","3.32 (-2.91, 9.47)","10.37 (2.93, 17.71)","3.89 (-2.64, 10.32)","3.42 (-2.46, 9.17)","3.65 (-2.78, 10.23)","0.36 (-7.46, 8.03)","2.61 (-3.16, 8.47)","3.99 (0.14, 7.73)","1.29 (-2.32, 4.9)","2.85 (-0.91, 6.67)","2.74 (-1.36, 6.86)","0.96 (-2.07, 3.89)","-7.19 (-11.43, -3.16)","-5.52 (-9.95, -1.29)","-6.99 (-11.26, -2.68)"
"cre300mg","-0.79 (-3.81, 2.11)","5.58 (-0.62, 11.81)","0.48 (-2.66, 3.51)","-0.52 (-3.53, 2.39)","3.1 (-2.42, 8.66)","-1.77 (-5.75, 2.22)","cre300mg","0.32 (-3.44, 4.1)","-1.78 (-5.3, 1.78)","-0.6 (-4.13, 2.88)","-0.2 (-3.66, 3.28)","-1.29 (-4.36, 1.77)","0.3 (-3.55, 4.18)","-0.07 (-3.38, 3.18)","0.05 (-2.85, 2.89)","1.53 (-4.72, 8.29)","8.64 (1.17, 15.91)","2.11 (-4.33, 8.91)","1.69 (-4.21, 7.48)","1.84 (-4.53, 8.49)","-1.47 (-9.12, 6.38)","0.82 (-5.05, 6.67)","2.22 (-1.76, 6.04)","-0.45 (-4.19, 3.08)","1.13 (-2.74, 4.84)","0.96 (-3.23, 5.35)","-0.82 (-3.9, 2.16)","-8.97 (-13.24, -4.79)","-7.33 (-11.69, -2.98)","-8.77 (-13.02, -4.49)"
"cre60mg","-1.15 (-3.7, 1.39)","5.23 (-0.93, 11.29)","0.12 (-2.58, 2.87)","-0.86 (-3.41, 1.69)","2.81 (-2.63, 8.01)","-2.1 (-5.8, 1.66)","-0.32 (-4.1, 3.44)","cre60mg","-2.1 (-5.27, 1.03)","-0.94 (-4.08, 2.2)","-0.54 (-3.67, 2.66)","-1.64 (-4.29, 1)","-0.03 (-3.52, 3.43)","-0.42 (-3.32, 2.46)","-0.29 (-2.71, 2.16)","1.23 (-5.02, 7.53)","8.34 (0.95, 15.38)","1.74 (-4.71, 8.58)","1.31 (-4.54, 7.03)","1.51 (-4.75, 8.21)","-1.74 (-9.44, 5.8)","0.52 (-5.04, 6.17)","1.85 (-1.67, 5.39)","-0.8 (-4.07, 2.47)","0.76 (-2.7, 4.26)","0.63 (-3.19, 4.67)","-1.19 (-3.78, 1.45)","-9.35 (-13.22, -5.39)","-7.68 (-11.74, -3.59)","-9.15 (-13.1, -5.03)"
"don1400mg","0.97 (-1.21, 3.11)","7.34 (1.49, 13.36)","2.26 (-0.11, 4.59)","1.25 (-0.92, 3.4)","4.96 (-0.31, 9.93)","0.02 (-3.46, 3.51)","1.78 (-1.78, 5.3)","2.1 (-1.03, 5.27)","don1400mg","1.16 (-1.64, 4.03)","1.58 (-1.25, 4.53)","0.49 (-1.87, 2.78)","2.08 (-1.14, 5.32)","1.71 (-0.88, 4.29)","1.82 (-0.22, 3.86)","3.28 (-2.73, 9.59)","10.49 (3.24, 17.41)","3.9 (-2.49, 10.32)","3.47 (-2.33, 8.94)","3.63 (-2.46, 10.01)","0.35 (-7.22, 7.7)","2.66 (-2.92, 8.15)","3.98 (0.75, 7.24)","1.3 (-1.65, 4.31)","2.88 (-0.35, 6.17)","2.72 (-0.75, 6.63)","0.94 (-1.33, 3.2)","-7.24 (-10.9, -3.54)","-5.56 (-9.41, -1.72)","-7.01 (-10.8, -3.09)"
