"","aducanumab","bapineuzumab","biib092","crenezumab","donanemab","gantenerumab","gsk933776","lecanemab","placebo","ponezumab","semorinemab","solanezumab","tilavonemab"
"aducanumab","aducanumab","1.8955595665453 (-0.0063815389372965, 5.32879659601464)","1.11640870103099 (-1.18421181989142, 4.75650769951627)","1.93784666587192 (-0.00374354429000021, 5.35931130334369)","0.967881705981458 (-1.63576438845567, 4.59770020599259)","1.32696347942387 (-0.71514054005737, 4.79523605650409)","2.84505815994444 (0.262256336050866, 6.5724263798939)","1.10912485114928 (-0.830731007641652, 4.53119954489206)","1.8267551958331 (-0.0547508935241025, 5.24016025952427)","-7.95442283921328 (-34.6542460658227, 2.81523978199981)","1.64835613979913 (-0.518670313548333, 5.15422112925626)","1.91243382127659 (-0.0506657734835541, 5.36487685620856)","1.83746066126197 (-0.154789966176711, 5.24199443215616)"
"bapineuzumab","-1.8955595665453 (-5.32879659601464, 0.0063815389372965)","bapineuzumab","-0.813221061271552 (-2.1040842196016, 0.506820132756031)","0.0371904609573184 (-0.470812528938002, 0.544463212908082)","-0.966996769165501 (-2.68663806688022, 0.549538924732873)","-0.570647652864996 (-1.42396421503182, 0.249668146267756)","0.896050110909328 (-0.776974510525536, 2.59816142760579)","-0.780368596959831 (-1.33534105073911, -0.288307155061551)","-0.0671075483840753 (-0.354287250484435, 0.216090595496578)","-9.98215290104736 (-36.630435838001, 0.314028093742476)","-0.265388485688675 (-1.29752779340133, 0.682859659355573)","0.0139641615055153 (-0.63074052565954, 0.659956022311357)","-0.063879266924832 (-0.764059944363261, 0.582075571037921)"
"biib092","-1.11640870103099 (-4.75650769951627, 1.18421181989142)","0.813221061271552 (-0.506820132756031, 2.1040842196016)","biib092","0.847211885966059 (-0.497821095411414, 2.1752996468377)","-0.156672819857041 (-2.31743074740789, 1.78709308210148)","0.237642381475438 (-1.27125094656002, 1.73188417529454)","1.71643746609349 (-0.376011020066201, 3.80383487953691)","0.0212072093068549 (-1.35001240069035, 1.34970596083447)","0.742503642904309 (-0.546978935786941, 2.00457215273749)","-9.19432050334988 (-35.8506440095582, 1.36704023451012)","0.527879897629695 (-1.0622150599161, 2.11866598441024)","0.826726498084266 (-0.565444594012843, 2.20504273191357)","0.742351494404137 (-0.694126221323546, 2.16187961919365)"
"crenezumab","-1.93784666587192 (-5.35931130334369, 0.00374354429000021)","-0.0371904609573184 (-0.544463212908082, 0.470812528938002)","-0.847211885966059 (-2.1752996468377, 0.497821095411414)","crenezumab","-1.01091400027914 (-2.75235892593922, 0.541797539949162)","-0.609770664313982 (-1.51477885254559, 0.258000396689243)","0.864333650743881 (-0.851481362042064, 2.58105850133089)","-0.819487535202214 (-1.45544702707218, -0.240554034621553)","-0.104148453459763 (-0.524403405128137, 0.311107989871345)","-10.0223243643994 (-36.6559008168495, 0.291556081424902)","-0.301289777182507 (-1.37933671362441, 0.696667502959578)","-0.0194751542515451 (-0.73866260560095, 0.692046591596556)","-0.103062460381423 (-0.863300856122065, 0.615623767731387)"
"donanemab","-0.967881705981458 (-4.59770020599259, 1.63576438845567)","0.966996769165501 (-0.549538924732873, 2.68663806688022)","0.156672819857041 (-1.78709308210148, 2.31743074740789)","1.01091400027914 (-0.541797539949162, 2.75235892593922)","donanemab","0.388695260679043 (-1.30022749666204, 2.26307467966359)","1.88367858857829 (-0.403970099938652, 4.20726209761677)","0.179894484769501 (-1.3742849295656, 1.92663907356598)","0.900334325094695 (-0.585620846989312, 2.59556026846317)","-8.97810547828812 (-35.5668263649375, 1.48035270519073)","0.685591891643024 (-1.09749108311866, 2.64256031699253)","0.983892002843663 (-0.604999285841241, 2.77721821910936)","0.894302520464112 (-0.694594853922367, 2.70393779965127)"
"gantenerumab","-1.32696347942387 (-4.79523605650409, 0.71514054005737)","0.570647652864996 (-0.249668146267756, 1.42396421503182)","-0.237642381475438 (-1.73188417529454, 1.27125094656002)","0.609770664313982 (-0.258000396689243, 1.51477885254559)","-0.388695260679043 (-2.26307467966359, 1.30022749666204)","gantenerumab","1.47799677988362 (-0.352622790442523, 3.32140639962035)","-0.211334447884985 (-1.11106464964204, 0.676113406484432)","0.502942727085629 (-0.26431031788965, 1.30305071110795)","-9.4027163432433 (-35.9891115625283, 0.93943156434235)","0.304826674142727 (-0.948429724474358, 1.52589318477144)","0.586373073108636 (-0.359405033884529, 1.5676260849718)","0.508672960709003 (-0.498187788507625, 1.49452107728685)"
"gsk933776","-2.84505815994444 (-6.5724263798939, -0.262256336050866)","-0.896050110909328 (-2.59816142760579, 0.776974510525536)","-1.71643746609349 (-3.80383487953691, 0.376011020066201)","-0.864333650743881 (-2.58105850133089, 0.851481362042064)","-1.88367858857829 (-4.20726209761677, 0.403970099938652)","-1.47799677988362 (-3.32140639962035, 0.352622790442523)","gsk933776","-1.68825855090181 (-3.41525641673056, 0.0178599600533389)","-0.967477234733565 (-2.63723408298621, 0.678630433046924)","-10.9012587102677 (-37.3074065932539, -0.336387708986445)","-1.19211654139528 (-3.07002421176849, 0.758610133675959)","-0.880225608729493 (-2.65251000280004, 0.865404097161123)","-0.961363771091211 (-2.77974774455609, 0.781001880892934)"
"lecanemab","-1.10912485114928 (-4.53119954489206, 0.830731007641652)","0.780368596959831 (0.288307155061551, 1.33534105073911)","-0.0212072093068549 (-1.34970596083447, 1.35001240069035)","0.819487535202214 (0.240554034621553, 1.45544702707218)","-0.179894484769501 (-1.92663907356598, 1.3742849295656)","0.211334447884985 (-0.676113406484432, 1.11106464964204)","1.68825855090181 (-0.0178599600533389, 3.41525641673056)","lecanemab","0.71386684628918 (0.300673331328555, 1.18017501912303)","-9.20049750238567 (-35.8632330602801, 1.10815654054786)","0.518766297999758 (-0.548142303386601, 1.54374612051874)","0.795546173941208 (0.102092138658812, 1.55324790841331)","0.719179494407333 (-0.0325769466573252, 1.46784819039922)"
"placebo","-1.8267551958331 (-5.24016025952427, 0.0547508935241025)","0.0671075483840753 (-0.216090595496578, 0.354287250484435)","-0.742503642904309 (-2.00457215273749, 0.546978935786941)","0.104148453459763 (-0.311107989871345, 0.524403405128137)","-0.900334325094695 (-2.59556026846317, 0.585620846989312)","-0.502942727085629 (-1.30305071110795, 0.26431031788965)","0.967477234733565 (-0.678630433046924, 2.63723408298621)","-0.71386684628918 (-1.18017501912303, -0.300673331328555)","placebo","-9.92695711055428 (-36.5809048861739, 0.378311262236408)","-0.198108706208162 (-1.19344732573567, 0.713601272483402)","0.0820416412498438 (-0.492425275679253, 0.666022836312695)","0.00320537749607982 (-0.631531900184763, 0.590971457776476)"
