"","aducanumab","bapineuzumab","biib092","crenezumab","donanemab","gantenerumab","gsk933776","lecanemab","placebo","ponezumab","semorinemab","solanezumab","tilavonemab"
"aducanumab","aducanumab","6.66 (0.99, 206.19)","3.05 (0.31, 116.34)","6.94 (1, 212.58)","2.63 (0.19, 99.26)","3.77 (0.49, 120.93)","17.2 (1.3, 715.1)","3.03 (0.44, 92.87)","6.21 (0.95, 188.7)","0 (0, 16.7)","5.2 (0.6, 173.16)","6.77 (0.95, 213.76)","6.28 (0.86, 189.05)"
"bapineuzumab","0.15 (0, 1.01)","bapineuzumab","0.44 (0.12, 1.66)","1.04 (0.62, 1.72)","0.38 (0.07, 1.73)","0.57 (0.24, 1.28)","2.45 (0.46, 13.44)","0.46 (0.26, 0.75)","0.94 (0.7, 1.24)","0 (0, 1.37)","0.77 (0.27, 1.98)","1.01 (0.53, 1.93)","0.94 (0.47, 1.79)"
"biib092","0.33 (0.01, 3.27)","2.26 (0.6, 8.2)","biib092","2.33 (0.61, 8.8)","0.85 (0.1, 5.97)","1.27 (0.28, 5.65)","5.56 (0.69, 44.87)","1.02 (0.26, 3.86)","2.1 (0.58, 7.42)","0 (0, 3.92)","1.7 (0.35, 8.32)","2.29 (0.57, 9.07)","2.1 (0.5, 8.69)"
"crenezumab","0.14 (0, 1)","0.96 (0.58, 1.6)","0.43 (0.11, 1.65)","crenezumab","0.36 (0.06, 1.72)","0.54 (0.22, 1.29)","2.37 (0.43, 13.21)","0.44 (0.23, 0.79)","0.9 (0.59, 1.36)","0 (0, 1.34)","0.74 (0.25, 2.01)","0.98 (0.48, 2)","0.9 (0.42, 1.85)"
"donanemab","0.38 (0.01, 5.13)","2.63 (0.58, 14.68)","1.17 (0.17, 10.15)","2.75 (0.58, 15.68)","donanemab","1.48 (0.27, 9.61)","6.58 (0.67, 67.17)","1.2 (0.25, 6.87)","2.46 (0.56, 13.4)","0 (0, 4.39)","1.98 (0.33, 14.05)","2.67 (0.55, 16.07)","2.45 (0.5, 14.94)"
"gantenerumab","0.27 (0.01, 2.04)","1.77 (0.78, 4.15)","0.79 (0.18, 3.57)","1.84 (0.77, 4.55)","0.68 (0.1, 3.67)","gantenerumab","4.38 (0.7, 27.7)","0.81 (0.33, 1.97)","1.65 (0.77, 3.68)","0 (0, 2.56)","1.36 (0.39, 4.6)","1.8 (0.7, 4.8)","1.66 (0.61, 4.46)"
"gsk933776","0.06 (0, 0.77)","0.41 (0.07, 2.17)","0.18 (0.02, 1.46)","0.42 (0.08, 2.34)","0.15 (0.01, 1.5)","0.23 (0.04, 1.42)","gsk933776","0.18 (0.03, 1.02)","0.38 (0.07, 1.97)","0 (0, 0.71)","0.3 (0.05, 2.14)","0.41 (0.07, 2.38)","0.38 (0.06, 2.18)"
"lecanemab","0.33 (0.01, 2.29)","2.18 (1.33, 3.8)","0.98 (0.26, 3.86)","2.27 (1.27, 4.29)","0.84 (0.15, 3.95)","1.24 (0.51, 3.04)","5.41 (0.98, 30.42)","lecanemab","2.04 (1.35, 3.25)","0 (0, 3.03)","1.68 (0.58, 4.68)","2.22 (1.11, 4.73)","2.05 (0.97, 4.34)"
"placebo","0.16 (0.01, 1.06)","1.07 (0.81, 1.43)","0.48 (0.13, 1.73)","1.11 (0.73, 1.69)","0.41 (0.07, 1.8)","0.6 (0.27, 1.3)","2.63 (0.51, 13.97)","0.49 (0.31, 0.74)","placebo","0 (0, 1.46)","0.82 (0.3, 2.04)","1.09 (0.61, 1.95)","1 (0.53, 1.81)"
"ponezumab","2848.14 (0.06, 1122400472649375)","21636.84 (0.73, 8098342758993379)","9841.08 (0.25, 3713101884085091)","22523.72 (0.75, 8307215063386909)","7927.6 (0.23, 2795608994594675)","12121.26 (0.39, 4264543612584819)","54244.6 (1.4, 15936788811697800)","9902.05 (0.33, 3760141784631228)","20474.94 (0.69, 7706996026790880)","ponezumab","15442.21 (0.5, 6448347967038573)","22523.85 (0.72, 8579031966071967)","19433.03 (0.65, 7658035585169088)"
"semorinemab","0.19 (0.01, 1.68)","1.3 (0.51, 3.66)","0.59 (0.12, 2.89)","1.35 (0.5, 3.97)","0.5 (0.07, 3)","0.74 (0.22, 2.58)","3.29 (0.47, 21.54)","0.6 (0.21, 1.73)","1.22 (0.49, 3.3)","0 (0, 1.98)","semorinemab","1.32 (0.45, 4.13)","1.22 (0.4, 3.89)"
"solanezumab","0.15 (0, 1.05)","0.99 (0.52, 1.88)","0.44 (0.11, 1.76)","1.02 (0.5, 2.09)","0.37 (0.06, 1.83)","0.56 (0.21, 1.43)","2.41 (0.42, 14.19)","0.45 (0.21, 0.9)","0.92 (0.51, 1.64)","0 (0, 1.38)","0.76 (0.24, 2.2)","solanezumab","0.93 (0.39, 2.07)"
"tilavonemab","0.16 (0.01, 1.17)","1.07 (0.56, 2.15)","0.48 (0.12, 2)","1.11 (0.54, 2.37)","0.41 (0.07, 2)","0.6 (0.22, 1.65)","2.62 (0.46, 16.11)","0.49 (0.23, 1.03)","1 (0.55, 1.88)","0 (0, 1.53)","0.82 (0.26, 2.5)","1.08 (0.48, 2.56)","tilavonemab"
