"treatment","sucra"
"adu10mg",0.654506551724138
"bap150ug",0.0873646551724138
"bap1mg",0.390293275862069
"bap500ug",0.594126724137931
"bapb2mg",0.196722586206897
"cre15mg",0.742349827586207
"cre300mg",0.494794137931034
"cre60mg",0.437557931034483
"don1400mg",0.769767413793103
"gan105mg",0.599399310344828
"gan225mg",0.522354655172414
"lec10mg",0.737618793103448
"lec2500ug",0.444308965517241
"lec5mg",0.497465172413793
"placebo",0.45916275862069
"pon100ug",0.349215862068965
"pon10mg",0.0314779310344828
"pon1mg",0.300285
"pon3mg",0.326188965517241
"pon500ug",0.320120344827586
"pon7500ug",0.61393775862069
"pon8500ug",0.408682931034483
"sem1500mg",0.211362413793103
"sem4500mg",0.575194655172414
"sem8100mg",0.328493965517241
"sol100mg",0.36017
"sol400mg",0.656626379310345
"til1000mg",0.976710517241379
"til2000mg",0.941489655172414
"til300mg",0.972250862068965
