measure,location,sex,age,cause,metric,year,val,upper,lower
DALYs (Disability-Adjusted Life Years),Marshall Islands,Both,Age-standardized,Asthma,Rate,1990,1163.8142962614515,1631.496093437278,891.3572980992374
DALYs (Disability-Adjusted Life Years),Saudi Arabia,Both,Age-standardized,Asthma,Rate,1990,416.2011579427432,573.1225313292318,308.33372501376954
DALYs (Disability-Adjusted Life Years),Nicaragua,Both,Age-standardized,Asthma,Rate,1990,434.6087306958428,554.4182252587698,336.74346532252446
DALYs (Disability-Adjusted Life Years),Japan,Both,Age-standardized,Asthma,Rate,1990,401.2744973338838,546.6100393721849,289.8051423572427
DALYs (Disability-Adjusted Life Years),Georgia,Both,Age-standardized,Asthma,Rate,1990,236.03711963249827,281.5946426654616,196.96055888086377
DALYs (Disability-Adjusted Life Years),Mozambique,Both,Age-standardized,Asthma,Rate,1990,631.3629671021927,788.3292311657773,464.233720912054
DALYs (Disability-Adjusted Life Years),Denmark,Both,Age-standardized,Asthma,Rate,1990,318.10901630967385,432.13820209185366,231.694576071532
DALYs (Disability-Adjusted Life Years),Uruguay,Both,Age-standardized,Asthma,Rate,1990,412.5911039526747,530.0839256778025,319.2498381572654
DALYs (Disability-Adjusted Life Years),Dominica,Both,Age-standardized,Asthma,Rate,1990,435.66889002734723,566.3926955116954,336.8360211259099
DALYs (Disability-Adjusted Life Years),South Africa,Both,Age-standardized,Asthma,Rate,1990,756.1617626013294,891.5204539639034,643.7513009320757
DALYs (Disability-Adjusted Life Years),Iran (Islamic Republic of),Both,Age-standardized,Asthma,Rate,1990,529.310637468997,651.9694533343736,430.99276515607824
DALYs (Disability-Adjusted Life Years),Croatia,Both,Age-standardized,Asthma,Rate,1990,282.0845009533217,382.41584632874583,205.98995202315598
DALYs (Disability-Adjusted Life Years),Greenland,Both,Age-standardized,Asthma,Rate,1990,580.8991669128446,772.2596147183853,435.28683475797976
DALYs (Disability-Adjusted Life Years),Bolivia (Plurinational State of),Both,Age-standardized,Asthma,Rate,1990,556.2653397861308,751.5444436767576,390.3229092637782
DALYs (Disability-Adjusted Life Years),Syrian Arab Republic,Both,Age-standardized,Asthma,Rate,1990,626.9956326878346,770.2915620092342,504.00883344524004
DALYs (Disability-Adjusted Life Years),Belarus,Both,Age-standardized,Asthma,Rate,1990,365.9599103389371,470.23716735192016,283.1589963500497
DALYs (Disability-Adjusted Life Years),Micronesia (Federated States of),Both,Age-standardized,Asthma,Rate,1990,1333.2667618739624,1786.1353463414036,1019.5384553259836
DALYs (Disability-Adjusted Life Years),Ghana,Both,Age-standardized,Asthma,Rate,1990,669.9428646997627,817.7585592932946,447.7950049529421
DALYs (Disability-Adjusted Life Years),Maldives,Both,Age-standardized,Asthma,Rate,1990,686.5844874473014,902.6951885724287,485.2205780271737
DALYs (Disability-Adjusted Life Years),San Marino,Both,Age-standardized,Asthma,Rate,1990,249.61752617291918,368.55019141401436,165.30267819326912
DALYs (Disability-Adjusted Life Years),Netherlands,Both,Age-standardized,Asthma,Rate,1990,347.79025311513846,515.4570119204986,228.53047648052632
DALYs (Disability-Adjusted Life Years),Brunei Darussalam,Both,Age-standardized,Asthma,Rate,2019,327.4808529939782,419.7968615306025,255.87408701981423
DALYs (Disability-Adjusted Life Years),Lao People's Democratic Republic,Both,Age-standardized,Asthma,Rate,2019,561.9875698040923,729.9043577401601,421.8755777845536
DALYs (Disability-Adjusted Life Years),Togo,Both,Age-standardized,Asthma,Rate,1990,847.1221084869543,1037.9280034713117,680.0498022504569
DALYs (Disability-Adjusted Life Years),Panama,Both,Age-standardized,Asthma,Rate,1990,342.690838334111,453.34788415024195,258.5581245088492
DALYs (Disability-Adjusted Life Years),Slovenia,Both,Age-standardized,Asthma,Rate,2019,187.58044323604958,281.13027292152816,120.42379449502131
DALYs (Disability-Adjusted Life Years),Republic of Korea,Both,Age-standardized,Asthma,Rate,1990,645.596671983397,764.3232275054131,465.1564142179972
DALYs (Disability-Adjusted Life Years),Bosnia and Herzegovina,Both,Age-standardized,Asthma,Rate,2019,189.78733723571273,278.98377818872893,125.7346650554074
DALYs (Disability-Adjusted Life Years),Burundi,Both,Age-standardized,Asthma,Rate,1990,1171.5552715242602,1498.760537552994,825.7412439544588
DALYs (Disability-Adjusted Life Years),Kiribati,Both,Age-standardized,Asthma,Rate,2019,1795.0850477355007,2242.1615342744785,1411.436674201915
DALYs (Disability-Adjusted Life Years),Venezuela (Bolivarian Republic of),Both,Age-standardized,Asthma,Rate,1990,292.92576407052223,394.7629469378701,222.01896674892
DALYs (Disability-Adjusted Life Years),Finland,Both,Age-standardized,Asthma,Rate,1990,294.12434585651187,422.73597586376474,201.33424701368395
DALYs (Disability-Adjusted Life Years),Puerto Rico,Both,Age-standardized,Asthma,Rate,2019,382.7037543256781,557.4430990476894,253.65522426510958
DALYs (Disability-Adjusted Life Years),Iraq,Both,Age-standardized,Asthma,Rate,1990,543.2157490416463,661.6677780092573,438.28857740809354
DALYs (Disability-Adjusted Life Years),Eswatini,Both,Age-standardized,Asthma,Rate,1990,1026.811287772894,1366.1325047544283,783.6402928865165
DALYs (Disability-Adjusted Life Years),Belgium,Both,Age-standardized,Asthma,Rate,2019,196.04569825562734,285.5694402363235,131.1639009174808
DALYs (Disability-Adjusted Life Years),Guam,Both,Age-standardized,Asthma,Rate,1990,316.23120880098463,404.3415900359882,247.6551767178369
DALYs (Disability-Adjusted Life Years),Trinidad and Tobago,Both,Age-standardized,Asthma,Rate,2019,280.49387249701886,389.0236939732968,201.6137273876382
DALYs (Disability-Adjusted Life Years),Belize,Both,Age-standardized,Asthma,Rate,2019,313.6632367807846,430.0050114536765,227.90649116118922
DALYs (Disability-Adjusted Life Years),Rwanda,Both,Age-standardized,Asthma,Rate,1990,1430.2876957116246,1804.7963551919447,1064.1975362178014
DALYs (Disability-Adjusted Life Years),Qatar,Both,Age-standardized,Asthma,Rate,2019,160.89869925202794,230.90714303905403,109.29959968075775
DALYs (Disability-Adjusted Life Years),Dominican Republic,Both,Age-standardized,Asthma,Rate,1990,501.96689672664724,607.856408531451,397.2378265072062
DALYs (Disability-Adjusted Life Years),Côte d'Ivoire,Both,Age-standardized,Asthma,Rate,2019,444.60123371551674,555.6444692336967,352.9753775868946
DALYs (Disability-Adjusted Life Years),Ecuador,Both,Age-standardized,Asthma,Rate,1990,381.8089717640526,501.2564881827308,268.412715083101
DALYs (Disability-Adjusted Life Years),India,Both,Age-standardized,Asthma,Rate,1990,977.1686658110743,1427.5620897660656,630.4744085864355
DALYs (Disability-Adjusted Life Years),Cyprus,Both,Age-standardized,Asthma,Rate,2019,299.358198855001,439.9377478124548,199.18956405850608
DALYs (Disability-Adjusted Life Years),Bahrain,Both,Age-standardized,Asthma,Rate,2019,234.14794803908578,310.3555954740949,178.95057218288167
DALYs (Disability-Adjusted Life Years),Guinea,Both,Age-standardized,Asthma,Rate,1990,945.4196087015717,1157.8971440335142,748.5500545556988
DALYs (Disability-Adjusted Life Years),Czechia,Both,Age-standardized,Asthma,Rate,1990,179.79240065938686,243.02168897405116,134.38724495195905
DALYs (Disability-Adjusted Life Years),Mauritius,Both,Age-standardized,Asthma,Rate,2019,301.64947298687684,374.22402981948505,237.50109043067917
DALYs (Disability-Adjusted Life Years),Pakistan,Both,Age-standardized,Asthma,Rate,1990,700.361518842919,1039.0217392771413,510.0367010719812
DALYs (Disability-Adjusted Life Years),Senegal,Both,Age-standardized,Asthma,Rate,2019,412.3672372384566,524.3755802798144,323.4003441104367
DALYs (Disability-Adjusted Life Years),Papua New Guinea,Both,Age-standardized,Asthma,Rate,1990,1716.7877218965739,2334.8795661760355,1319.0132366313137
DALYs (Disability-Adjusted Life Years),Luxembourg,Both,Age-standardized,Asthma,Rate,2019,286.66691428972786,415.1759779087007,190.60029333682854
DALYs (Disability-Adjusted Life Years),Estonia,Both,Age-standardized,Asthma,Rate,1990,208.2458056640134,258.135154702509,166.85905053451117
DALYs (Disability-Adjusted Life Years),Canada,Both,Age-standardized,Asthma,Rate,1990,254.2319583363773,361.31612386381806,178.75679160699346
DALYs (Disability-Adjusted Life Years),Norway,Both,Age-standardized,Asthma,Rate,1990,539.5917069266512,737.0682793803054,389.99205357039153
DALYs (Disability-Adjusted Life Years),Azerbaijan,Both,Age-standardized,Asthma,Rate,2019,172.3749830863206,235.99144904795062,131.64958060327726
DALYs (Disability-Adjusted Life Years),Singapore,Both,Age-standardized,Asthma,Rate,1990,415.8435796757359,536.9189911342619,319.0060175209075
DALYs (Disability-Adjusted Life Years),Malaysia,Both,Age-standardized,Asthma,Rate,2019,192.92332452806875,251.05766115295367,146.16525374512332
DALYs (Disability-Adjusted Life Years),Tokelau,Both,Age-standardized,Asthma,Rate,1990,904.2642088827131,1193.6674482222422,684.4578836812199
DALYs (Disability-Adjusted Life Years),Kazakhstan,Both,Age-standardized,Asthma,Rate,1990,301.6111345248694,378.2276120723202,238.78743150135892
DALYs (Disability-Adjusted Life Years),Namibia,Both,Age-standardized,Asthma,Rate,2019,429.38890303701737,551.7807108053439,328.18030594905093
DALYs (Disability-Adjusted Life Years),Hungary,Both,Age-standardized,Asthma,Rate,1990,218.87489850625596,296.71313448560875,162.22484121958945
DALYs (Disability-Adjusted Life Years),Latvia,Both,Age-standardized,Asthma,Rate,1990,309.35012190501607,401.40190757331345,238.32694395929133
DALYs (Disability-Adjusted Life Years),Jordan,Both,Age-standardized,Asthma,Rate,1990,369.1382109187236,460.63027419559444,293.3599902341374
DALYs (Disability-Adjusted Life Years),Tunisia,Both,Age-standardized,Asthma,Rate,1990,426.3181167850537,554.8125621902793,340.7646491040429
DALYs (Disability-Adjusted Life Years),Myanmar,Both,Age-standardized,Asthma,Rate,1990,1859.7870805403982,2341.727995625705,1293.9146417872796
DALYs (Disability-Adjusted Life Years),Kyrgyzstan,Both,Age-standardized,Asthma,Rate,1990,263.4763196907345,330.5851424814624,207.5956356358683
DALYs (Disability-Adjusted Life Years),Australia,Both,Age-standardized,Asthma,Rate,1990,576.5421401340193,775.1771309932773,421.2642159676232
DALYs (Disability-Adjusted Life Years),Grenada,Both,Age-standardized,Asthma,Rate,1990,413.58393273153985,545.798791355589,307.9998595094764
DALYs (Disability-Adjusted Life Years),Marshall Islands,Both,Age-standardized,Asthma,Rate,2019,707.3697410077252,938.8231589230651,507.63092720101844
DALYs (Disability-Adjusted Life Years),Bhutan,Both,Age-standardized,Asthma,Rate,2019,341.8152336482909,490.2400169697829,247.76792391164125
DALYs (Disability-Adjusted Life Years),Philippines,Both,Age-standardized,Asthma,Rate,1990,989.5981280306244,1143.5516247891205,858.5867554945673
DALYs (Disability-Adjusted Life Years),Tuvalu,Both,Age-standardized,Asthma,Rate,1990,1324.7225184191989,1752.1824005610601,975.4567783217238
DALYs (Disability-Adjusted Life Years),Cuba,Both,Age-standardized,Asthma,Rate,2019,325.92915378838,471.3730467266887,221.63441311057232
DALYs (Disability-Adjusted Life Years),Mexico,Both,Age-standardized,Asthma,Rate,2019,142.86358574769432,206.55729316082454,99.99740078223644
DALYs (Disability-Adjusted Life Years),Chile,Both,Age-standardized,Asthma,Rate,2019,221.57927515319463,318.98769465448476,150.75291890046378
DALYs (Disability-Adjusted Life Years),Nepal,Both,Age-standardized,Asthma,Rate,1990,1429.5236699240356,2060.2588203972477,877.353753263653
DALYs (Disability-Adjusted Life Years),Seychelles,Both,Age-standardized,Asthma,Rate,1990,379.1323979282689,471.14806725368186,313.50787768892684
DALYs (Disability-Adjusted Life Years),Equatorial Guinea,Both,Age-standardized,Asthma,Rate,2019,329.13845541773986,516.3412913597865,225.85601847632643
DALYs (Disability-Adjusted Life Years),Lithuania,Both,Age-standardized,Asthma,Rate,1990,197.49529213997178,260.1599863002038,148.62517930367858
DALYs (Disability-Adjusted Life Years),China,Both,Age-standardized,Asthma,Rate,1990,209.2433563675687,272.32945057730007,159.56597186936867
DALYs (Disability-Adjusted Life Years),Djibouti,Both,Age-standardized,Asthma,Rate,1990,654.7686919333632,845.7294515698634,480.3809169506822
DALYs (Disability-Adjusted Life Years),Egypt,Both,Age-standardized,Asthma,Rate,2019,427.5955522510375,554.6428771840391,321.74718428094405
DALYs (Disability-Adjusted Life Years),Saudi Arabia,Both,Age-standardized,Asthma,Rate,2019,228.28888576156876,290.52248399125665,179.73684640115917
DALYs (Disability-Adjusted Life Years),Japan,Both,Age-standardized,Asthma,Rate,2019,161.15462197463756,241.75132438608188,104.80204798141084
DALYs (Disability-Adjusted Life Years),Bulgaria,Both,Age-standardized,Asthma,Rate,2019,149.87000030864633,220.6206475995713,96.64458705171087
